deal_count,location,price,shop,title
100+人付款,广东 广州,5799.00,天之蓝数码港,华硕灵耀Pro14标压锐龙2.8K OLED独显游戏性能设计轻薄
400+人付款,北京,5529.00,苏宁易购官方旗舰店,【立减330】华为MateBook14 i5/i7/R5/R7触控护眼全面屏轻薄学生商用 苏宁旗舰店1943
18人付款,江苏 南京,6099.00,中楚电子科技,DELL/戴尔灵越14Plus 12代酷睿i7创作设计师轻薄本7420
300+人付款,北京,3799.00,小米官方旗舰店,【热销爆品】小米/RedmiBook Pro 14锐龙版轻薄便携学生学习游戏办公商务AMD锐龙5000处理器全面屏
600+人付款,上海,12499.00,玩家国度旗舰店,ROG魔霸6 Plus官方旗舰店正品锐龙R9魔霸6运动版2.5K屏电竞游戏本RTX3060/3070Ti大学生手提游戏本
54人付款,上海,6498.00,sw123296342,Lenovo/联想 拯救者 R9000P Y9000PK R9000XR7000P游戏
87人付款,浙江 杭州,5599.00,喵速达电器官方旗舰店,华为HUAWEI MateBook 16 AMD R5 16GB+512GB Windows 11 16英寸2.5K专业级全面屏
29人付款,北京,6499.00,北京佳华鼎立直营店,华为MateBook X Pro2022款12代i5i7办公14.2英寸微绒版
200+人付款,北京,4499.00,小米官方旗舰店,【轻薄旗舰】Xiaomi/小米Pro 14 锐龙版学生学习办公轻薄便携商务AMD 5000小米官方旗舰店
500+人付款,广东 广州,6299.00,thunderobot旗舰店,【性价比推荐】雷神911MT英特尔12代酷睿i7-12700H2022年旗舰新款电竞专用游戏本RTX3050Ti/3060
300+人付款,浙江 宁波,249.00,asus华硕旗舰店,asus/华硕 天选姬耳 月耀白笔记本电脑游戏键盘鼠标耳机
16人付款,湖北 武汉,89.00,罗技众合励成专卖店,罗技MK270 无线光电 电脑笔记本无线鼠标无线键盘
49人付款,浙江 宁波,69.00,samir枫,罗技有线键盘MK120键盘鼠标USB接口办公商务家用电脑外设
3000+人付款,江西 九江,79.00,九江网际数码专营店,蒸汽朋克机械键盘鼠标电竞吃鸡游戏专用复古87键青轴黑轴茶轴有线外设笔记本电脑外接台式办公女生
100+人付款,上海,199.00,罗技官方旗舰店,罗技无线蓝牙K380键盘Pebble鼠标粉色UOOHA办公平板女生
1000+人付款,广东 深圳,58.00,航世数码专营店,BOW巧克力静音充电无线键盘鼠标外置蓝牙笔记本电脑台式外接usb有线数字键超薄办公用无声女生可爱小
1万+人付款,广东 深圳,15.90,夏科数码旗舰店,夏科电脑键盘鼠标有线台式笔记本办公专用静音无声打字外接usb家用商务电竞游戏真机械手感三件套
200+人付款,重庆,4299.00,adol官方旗舰店,【新品上市】华硕a豆142022新款 12代酷睿i5标压 莱茵护眼屏 高性能办公学生轻薄本官方旗舰店正品
300+人付款,广东 深圳,1948.00,品纯旗舰店,【11代新品】2022新款轻薄便携15.6英寸大学生女生游戏商务办公用超薄设计手提官方正品超极本
400+人付款,广东 深圳,5199.00,aierxuan旗舰店,2022年新款12代英特尔酷睿i5/i7游戏本RTX3060独显卡高配置电竞240Hz屏幕轻薄便携手提学生设计本
100+人付款,江苏 南京,4699.00,华硕爱豆专卖店,【新品上市】华硕a豆14 Pro 12代酷睿i5标压高性能游戏轻薄本商务办公学生便携手提官方旗舰店官网
100+人付款,福建 厦门,3499.00,戴尔力持专卖店,戴尔DELL灵越13Pro 13.3英寸11代英特尔酷睿i5超薄轻薄办公商务i7手提5310学生i3独显2022粉色5320
90人付款,浙江 杭州,3699.00,oppo酷炫专卖店,【24期免息】OPPO Find X5 oppofindx55G新款上市oppo官方旗舰店findx5pro限量版天玑0ppofindx5新品
300+人付款,山东 济南,2699.00,三际数码官方旗舰店,24期免息新品 vivo S15 5G全网通 vivos15 vivos15e vivos15pro 学生拍照vivo vivo官方旗舰店
9人付款,上海,3399.00,苹果021,华为MateBookD14/15 SE 12代酷睿2022新款轻薄商务办公
100+人付款,北京,5199.00,华为华泰纵横专卖店,【直降700】华为mateBook14/14s 2022新款12代标压酷睿i5/i7处理器轻薄商务触屏官方旗舰店正品
100+人付款,广东 广州,7699.00,thunderobot旗舰店,雷神911MT Pro 12代英特尔酷睿i9-12900H RTX3050Ti/3060独显电竞屏学生游戏本高端旗舰2022年新款
100+人付款,北京,8798.00,联想艾克兰斯专卖店,Lenovo/拯救者 R9000P 2022热销爆款 电竞本游戏本独显16英寸大屏学生设计办公官方正品RTX3060
600+人付款,广东 广州,4699.00,惠普中国官方旗舰店,【2022新款】HP/惠普星15可选12代英特尔酷睿i5处理器轻薄便携学生办公本惠普官方旗舰店正品
900+人付款,上海,109.00,罗技官方旗舰店,罗技MK235无线办公家用台式笔记本薄款耐用省电便携
53人付款,北京,1149.00,alienware外星人旗舰店,ALIENWARE外星人全家桶610M无线鼠标机械键盘游戏耳机
1000+人付款,江苏 苏州,45.00,双飞燕宽迈专卖店,双飞燕有线键盘鼠标台式机办公家用USBPS2圆口有线键盘鼠标笔记本电脑游戏键盘鼠标KK-5520
2000+人付款,上海,45.00,捷宏数码专营店,双飞燕KB-8键盘鼠标USB有线静音笔记本台式电脑办公游戏
1000+人付款,北京,99.00,小米官方旗舰店,小米无线键盘鼠标轻薄便携办公笔记本USB电脑外设无线
3000+人付款,广东 深圳,39.00,bow旗舰店,BOW航世 巧克力键盘有线台式电脑联想笔记本USB外接家用办公打字手感好无线小键盘鼠标静音迷你小米
22人付款,江苏 南京,79.90,南京品成,包邮正品罗技 MK270/MK275无线多媒体办公套件键盘鼠标
1000+人付款,广东 深圳,85.00,航世数码专营店,BOW航世电脑外接无线蓝牙键盘超薄无声鼠标可充电静音适用于联想惠普苹果ipad笔记本mac台式办公便携
2000+人付款,广东 深圳,4599.00,神舟电脑旗舰店,【热销】神舟战神Z7系列 RTX3050系独显12代英特尔酷睿i7/i5 大屏游戏本 学生网课 商务办公高配置
200+人付款,江苏 苏州,7799.00,神舟电脑旗舰店,【高端】神舟战神ZX10/G10系列 RTX3070/RTX3070Ti/RTX3080可选英特尔12代酷睿i5/i7 2.5K高刷大屏
300+人付款,广东 深圳,4099.00,火影旗舰店,【3千档位性价比入门独显游戏本】火影T5C六核i5/GTX1650/RTX3050/T5G游戏本15.6学生游戏本轻薄本
200+人付款,江苏 南京,5299.00,dell戴尔戴鑫专卖店,【2022新款】Dell/戴尔 灵越14Pro 5420 14英寸轻薄本12代酷睿商务办公2.2K护眼全面屏手提本5425
300+人付款,广东 广州,4399.00,acer宏碁旗舰店,Acer/宏碁蜂鸟非凡Vero 英特尔酷睿i5 高性能商务办公颜值轻薄便携本环保设计本大学生宏基手提
200+人付款,四川 成都,3754.00,华开云享电脑专营店,asus华硕爱豆a豆14酷睿i5办公学生PS设计pr绘图超极本轻薄便携粉色白色彩色女生手提小巧13.3
200+人付款,广东 广州,6399.00,acer宏碁旗舰店,Acer/宏碁传奇X 非凡X酷睿版 12代酷睿i5 高性能独显轻薄便携游戏本商务办公本女生宏基手提旗舰店
600+人付款,湖北 武汉,2099.00,宁美官方旗舰店,宁美国度CRL200 英特尔11代商务办公家用轻薄本学生网课便携女生商务
2000+人付款,广东 深圳,1368.00,dere戴睿旗舰店,【2022新品酷睿i7】戴睿R12Max英特尔独显轻薄便携大学生女生款超薄官方手提商务办公游戏本旗舰店
1000+人付款,广东 广州,2899.00,惠普中国官方旗舰店,【详情下单2499起】HP/惠普星14 青春版锐龙可选R3/R5处理器轻薄学生本女生办公惠普官方旗舰店
19人付款,广东 广州,3680.00,广州凌智科技,Xiaomi/小米 RedmiBook Pro i515独显锐龙轻薄办公游戏
46人付款,上海,6714.00,静房王树楷,2022新款Apple苹果MacBook Air 13.3 13.6寸 M1 M2定制
3人付款,江苏 南京,4399.00,惠普一方专卖店,【新品】HP惠普星14pro 12代酷睿i5 2.8K屏MX550独显高性能轻薄便携学生女生网课商务办公惠普官方
400+人付款,上海,15599.00,玩家国度旗舰店,ROG枪神6 Plus12代英特尔酷睿i9游戏本RTX3070Ti独显手提学生超竞版商务办公17.3英寸玩家国度旗舰
300+人付款,浙江 宁波,10999.00,rog玩家国度网硕专卖店,【热销爆款】ROG魔霸6 Plus/魔霸6 锐龙R9/RTX3060/RTX3070Ti 17.3英寸2.5K 240Hz游戏本玩家国度
100+人付款,广东 广州,459.00,thunderobot旗舰店,雷神变形金刚联名机械键盘鼠标大黄蜂KG8104游戏有线USB
41人付款,上海,1199.00,玩家国度旗舰店,【6期免息】ROG玩家国度 有线无线机械键盘鼠标电竞游戏防油抗磨损Cherry键轴红轴青轴吃鸡键盘
400+人付款,上海,394.00,王先生在线小店,罗技MX Keys无线蓝牙键盘静音商务办公专用logimac女Mini
400+人付款,广东 东莞,149.00,星动力数码配件专营店,狼蛛F2088机械键盘鼠标游戏吃鸡外设电脑耳机电竞三件套
1000+人付款,广东 深圳,89.00,microstep旗舰店,无线静音键盘鼠标机械手感游戏办公台式电脑笔记本女生
400+人付款,广东 深圳,249.00,讯则达数码专营店,牧马人专业电竞真机械键盘青轴茶轴鼠标游戏专用三件套
94人付款,广东 广州,339.00,machenike旗舰店,机械师K7漫威钢铁侠正版授权机械键盘红轴无线鼠标游戏
4人付款,河南 鹤壁,159.00,麦爆数码专营店,HP惠普机械键盘鼠标青轴黑茶红轴台式笔记本电脑游戏电竞
300+人付款,江苏 南京,2899.00,asus华硕恩荣专卖店,Asus华硕无畏15 2022款VivoBook11代酷睿i5/i7超薄轻薄15.6英寸商务办公学生用手提官方旗舰店官网
100+人付款,江苏 南京,319.00,苏宁易购官方旗舰店,罗技K380无线键盘蓝牙pebble鼠标可妮兔联名ipad苹果粉女
1000+人付款,广东 深圳,23.90,夏科数码旗舰店,夏科机械手感键盘鼠标有线台式电脑笔记本外接电竞游戏光
2000+人付款,广东 深圳,119.00,炫光数码配件旗舰店,牧马人机械键盘鼠标青轴茶轴黑轴游戏电竞专用有线三件套
3000+人付款,广东 深圳,59.90,飞利浦卡博专卖店,飞利浦无线键盘鼠标静音轻薄防溅水笔记本台式电脑办公
800+人付款,浙江 杭州,119.00,aoc官方旗舰店,AOC GK420机械键盘青黑茶红轴电竞游戏宏电脑真有线鼠标
800+人付款,广东 深圳,21.90,aigo爱国者旗舰店,【官方旗舰店】爱国者键盘鼠标有线笔记本台式电脑通用家用办公专用打字游戏电竞专用机械手感
4000+人付款,江苏 南京,39.90,六杰数码专营店,爱国者巧克力无线键盘鼠标家用办公打字台式机电脑笔记本外接超薄便携USB女生可爱粉色迷你小巧白色
100+人付款,广东 广州,149.00,machenike旗舰店,机械师CKM500无线键盘笔记本办公小巧轻声2.4G无线非蓝牙
300+人付款,江苏 南京,169.00,达尔优慧致星联专卖店,【顺丰包邮】达尔优牧马人游戏键盘鼠标机械键盘青轴有线cf网咖电竞lol家用USB台式笔记本电脑
100+人付款,浙江 杭州,53.00,新雨露尚品,罗技K120有线键盘USB电脑家用防水机械手感商务办公MK120
57人付款,浙江 杭州,189.00,天猫国际进口超市,【自营】罗技MK345无线鼠标键盘笔记本台式家用办公
100+人付款,北京,149.00,戴尔官方旗舰店,Dell/戴尔无线键盘鼠标非充电无线电竞游戏男女生KM3322W
300+人付款,浙江 金华,189.00,泽诚数码专营店,顺丰包邮黑寡妇机械键盘鼠标游戏专用青轴黑轴静音网吧电脑笔记本外接有线网红电竞三件套外设大手托
92人付款,江苏 南京,75.00,天猫商城2012,罗技MK275无线键盘鼠标USB防水家用薄款多媒体MK270
400+人付款,浙江 杭州,129.00,天天特卖工厂店,电竞真机械键盘青轴茶轴黑轴游戏专用台式笔记本电脑外接
300+人付款,浙江 杭州,59.00,天天特卖工厂店,HP惠普机械手感有线键盘鼠标游戏外接吃鸡专用办公打字
9000+人付款,广东 广州,35.80,汪翰数码专营店,牧马人真机械手感键盘鼠标有线电竞游戏专用无线电脑台式
2000+人付款,广东 广州,119.00,汪翰数码专营店,牧马人游戏真机械键盘鼠标办公青轴女生电竞电脑专用无线
1000+人付款,广东 广州,139.00,惠普中国官方旗舰店,惠普机械键盘青轴红轴茶轴游戏电竞电脑女生有线外接白色
1000+人付款,广东 深圳,99.00,炫光数码配件旗舰店,牧马人无线键盘鼠标静音可充电机械手感游戏电脑三件套
200+人付款,广东 广州,179.00,惠普中国官方旗舰店,HP惠普无线蓝牙键盘鼠标双模静音简约办公商务便携笔记本
700+人付款,广东 深圳,139.00,bow旗舰店,BOW航世 蓝牙三模无线键盘鼠标充电静音连笔记本电脑办公打字适用于苹果ipad平板华为小米手机联想
900+人付款,广东 深圳,89.00,bow旗舰店,【官方旗舰店】BOW 充电无线蓝牙键盘鼠标可连手机平板专用打字苹果通用外接ipadpro女生可爱mini6
46人付款,广东 广州,289.00,thunderobot旗舰店,雷神Kg8机械键盘笔记本电脑游戏有线电竞吃鸡青红轴104键
200+人付款,江苏 南京,185.00,达尔优慧致星联专卖店,【顺丰包邮】达尔优牧马人游戏键盘鼠标耳机三件套机械键盘有线cf网咖电竞lol台式电脑笔记本通用
8人付款,江苏 南京,399.00,brokenstone旗舰店,罗技k580无线键盘pebble蓝牙鼠标两件套办公家用电脑ipad
6人付款,北京,96.90,联想天梦康盛专卖店,Lenovo/联想原装正版M120 Pro无线笔记本台式一体机通用电脑商务办公巧克力键盘小巧可爱usb无线鼠标
200+人付款,上海,119.00,罗技官方旗舰店,罗技MK220无线键盘鼠标办公游戏USB笔记本电脑商务紧凑
200+人付款,广东 深圳,199.00,讯则达数码专营店,牧马人真机械键盘鼠标耳机三件套黑轴电竞游戏专用垫外设
6人付款,安徽 阜阳,68.00,童银城866,罗技MK540 MK545无线优联家用办公商务笔记本国行拆包
200+人付款,广东 深圳,49.00,魔金旗舰店,巧克力静音办公无线键盘鼠标台式电脑笔记本外接有线女生
4000+人付款,广东 深圳,16.80,夏科数码旗舰店,夏科有线键盘鼠标电脑台式笔记本无声静音办公家用商务白
4人付款,江苏 南京,239.00,天猫商城2012,罗技MK545无线 笔记本台式电脑无线键盘鼠标商务办公
100+人付款,安徽 合肥,199.00,罗技天利时代专卖店,罗技MK345无线鼠标键盘电脑笔记本台式家用办公打字专用
400+人付款,广东 深圳,18.90,夏科数码旗舰店,夏科键盘鼠标有线电脑台式笔记本专用办公游戏电竞机械感
600+人付款,广东 深圳,129.00,海莫数码专营店,惠普GK400真机械键盘青轴黑轴茶轴红轴有线电竞游戏专用
1000+人付款,广东 深圳,64.90,飞利浦凯网专卖店,飞利浦无线键盘鼠标可充电静音轻薄防溅电脑办公游戏通用
200+人付款,江苏 南京,19.90,爱国者岂迩专卖店,爱国者电脑键盘鼠标游戏办公有线USB打字台式笔记本国货
300+人付款,江苏 南京,209.00,牧马人数码旗舰店,牧马人游戏机械键盘鼠标有线吃鸡cf网咖电竞家用台式电脑
800+人付款,浙江 金华,59.00,乐诚数码专营店,黑寡妇机械手感键盘鼠标有线耳机三件套笔记本电脑台式外接网吧电竞游戏专用办公静音无声发光外设女
700+人付款,广东 深圳,99.00,magegee旗舰店,Magegee樱花粉色机械键盘87键青轴红轴有线电竞可爱萌女生少女笔记本游戏电脑朋克静音鼠标办公专用
900+人付款,广东 深圳,59.90,microstep旗舰店,键盘女生办公静音无声粉色可爱笔记本电脑台式通用有线
71人付款,江苏 南京,53.90,苏宁易购官方旗舰店,戴尔键盘鼠标有线无线笔记本台式机电脑办公家用345
66人付款,上海,999.00,罗技强袭专卖店,顺丰罗技GPRO机械键盘茶轴87键KDA便携G502鼠标RGB背光套
200+人付款,安徽 合肥,189.00,天戈数码专营店,真机械键盘鼠标耳机三件套有线电竞游戏青轴黑轴金属台式电脑笔记本外接网咖网红办公专用
65人付款,北京,149.00,戴尔官方旗舰店,Dell/戴尔KM3322W无线键盘鼠标两件套2.4G商务办公家用打字台式笔记本电脑一体机外设外接便携轻薄
85人付款,广东 东莞,49.00,苏宁易购官方旗舰店,爱国者AK200有线键盘鼠标潮感颜值商务办公游戏用台式机
21人付款,安徽 合肥,44.00,勤缘数码专营店,富勒L618 L600 MK850商务USB鼠标键盘有线纤薄
100+人付款,上海,699.00,罗技g官方旗舰店,官方旗舰店罗技g502hero+g610游戏电竞机械有线鼠标rgb吃鸡宏 cherry红青轴机械键盘104键
600+人付款,广东 深圳,219.00,炫光数码配件旗舰店,黑寡妇无线蓝牙三模真机械键盘可充电热插拔电竞游戏鼠标
29人付款,江苏 南京,65.00,天猫商城2012,罗技MK120有线办公K120键盘鼠标游戏家用笔记本台式电脑
1000+人付款,上海,45.00,桦陌数码专营店,双飞燕KR-85键盘鼠标USB有线静音笔记本台式电脑办公游戏
8人付款,浙江 杭州,33.00,涵涵100109,HP惠普km100有线键盘鼠标USB台式笔记本电脑游戏办公防水
